MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DE,MBER_SEXDSTN_FLAG_CD
1,,성인,일반,58,기타,3등급,20111201,F
1,,성인,일반,38,기타,3등급,20111201,F
1,,성인,일반,59,기타,2등급,20111201,F
1,,성인,일반,56,기타,3등급,20111201,F
1,,성인,일반,57,기타,1등급,20111201,F
1,,성인,일반,64,기타,3등급,20111201,F
1,,성인,일반,58,기타,2등급,20111201,F
1,,성인,일반,60,기타,2등급,20111201,F
1,,성인,일반,62,기타,3등급,20111201,F
1,,성인,일반,44,기타,3등급,20111201,F
1,,성인,일반,56,기타,3등급,20111201,F
1,,성인,일반,55,기타,참가증,20111201,F
1,,성인,일반,57,기타,3등급,20111201,F
1,,성인,일반,55,기타,2등급,20111201,F
1,,성인,일반,57,기타,3등급,20111201,F
1,,성인,일반,55,기타,3등급,20111201,F
1,,성인,일반,58,기타,참가증,20111201,F
1,,성인,일반,61,기타,3등급,20111201,F
1,,성인,일반,33,기타,2등급,20111201,F
1,,성인,일반,32,기타,2등급,20111201,F
1,,성인,일반,35,기타,참가증,20111201,M
1,,성인,일반,22,기타,3등급,20111201,F
1,,성인,일반,57,기타,1등급,20111201,F
1,,성인,일반,56,기타,2등급,20111201,F
1,,성인,일반,56,기타,3등급,20111201,F
1,,성인,일반,59,기타,2등급,20111201,F
1,,성인,일반,58,기타,3등급,20111201,F
1,,성인,일반,65,기타,참가증,20111201,F
1,,성인,일반,52,기타,2등급,20111201,F
1,,성인,일반,61,기타,참가증,20111201,F
1,,성인,일반,64,기타,3등급,20111201,F
1,,성인,일반,61,기타,3등급,20111201,F
1,,성인,일반,60,기타,3등급,20111201,F
1,,성인,일반,32,기타,3등급,20111202,M
1,,성인,일반,52,기타,3등급,20111202,M
1,,성인,일반,18,기타,참가증,20111202,F
1,,성인,일반,20,기타,3등급,20111202,F
1,,성인,일반,47,기타,3등급,20111202,M
1,,성인,일반,41,기타,3등급,20111202,M
1,,성인,일반,31,기타,3등급,20111202,M
1,,성인,일반,21,기타,3등급,20111202,F
1,,성인,일반,18,기타,참가증,20111202,M
1,,성인,일반,21,기타,참가증,20111202,F
1,,성인,일반,21,기타,3등급,20111202,F
1,,성인,일반,21,기타,참가증,20111202,F
1,,성인,일반,24,기타,3등급,20111202,F
1,,성인,일반,28,기타,3등급,20111202,M
1,,성인,일반,37,기타,3등급,20111202,F
1,,성인,일반,27,기타,3등급,20111202,F
1,,성인,일반,23,기타,참가증,20111202,M
1,,성인,일반,28,기타,3등급,20111202,M
1,,성인,일반,47,기타,3등급,20111202,M
1,,성인,일반,30,기타,2등급,20111202,M
1,,성인,일반,29,기타,3등급,20111202,M
1,,성인,일반,27,기타,3등급,20111202,M
1,,성인,일반,28,기타,3등급,20111202,M
1,,성인,일반,28,기타,3등급,20111202,M
