MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DE,MBER_SEXDSTN_FLAG_CD
"2","시흥","성인","일반","24","관리자","2등급","20231101","F"
"1","연수","성인","일반","25","관리자","3등급","20231101","F"
"2","강북","성인","일반","31","관리자","3등급","20231101","F"
"2","동구(광주)","어르신","일반","78","관리자","2등급","20231101","M"
"1","광주","성인","출장","19","관리자","참가","20231101","M"
"2","청주","성인","일반","37","관리자","참가","20231101","M"
"4","달서","성인","일반","53","관리자","참가","20231101","F"
"2","강릉","성인","일반","20","관리자","참가","20231101","M"
"2","광주","성인","출장","19","관리자","참가","20231101","M"
"5","포항","청소년","일반","18","관리자","참가","20231101","M"
"3","청주","성인","일반","35","관리자","3등급","20231101","M"
"2","서초","성인","일반","19","관리자","참가","20231101","F"
"2","중구(서울)","어르신","일반","68","관리자","참가","20231101","M"
"2","서구(광주)","청소년","출장","15","관리자","참가","20231101","M"
"2","화성","청소년","일반","18","관리자","2등급","20231101","F"
"1","춘천","성인","일반","63","관리자","참가","20231101","M"
"1","남구(울산)","성인","일반","25","관리자","3등급","20231101","M"
"1","남구(울산)","성인","일반","25","관리자","3등급","20231101","M"
"2","서구(광주)","청소년","출장","16","관리자","3등급","20231101","M"
"2","서구(광주)","청소년","출장","16","관리자","3등급","20231101","M"
"2","KSPO송파","어르신","일반","71","관리자","3등급","20231101","M"
"2","남구(울산)","성인","일반","52","관리자","2등급","20231101","F"
"2","오산","어르신","일반","68","관리자","2등급","20231101","F"
"2","동구(인천)","성인","일반","55","관리자","2등급","20231101","F"
"5","증평","성인","일반","19","관리자","3등급","20231101","M"
"1","고양","성인","일반","20","관리자","3등급","20231101","F"
"2","KSPO송파","어르신","일반","67","관리자","3등급","20231101","M"
"3","제주","청소년","일반","18","관리자","참가","20231101","M"
"2","중구(서울)","청소년","일반","17","관리자","참가","20231101","M"
"2","제주","청소년","일반","18","관리자","참가","20231101","M"
"3","제주","청소년","일반","18","관리자","3등급","20231101","M"
"4","KSPO송파","어르신","일반","72","관리자","3등급","20231101","M"
"1","광주","성인","출장","20","관리자","참가","20231101","M"
"1","성남","성인","일반","30","관리자","1등급","20231101","F"
"2","수원","성인","일반","19","관리자","2등급","20231101","M"
"2","동구(인천)","성인","일반","39","관리자","참가","20231101","F"
"1","서초","성인","일반","20","관리자","참가","20231101","M"
"2","KSPO송파","어르신","일반","69","관리자","참가","20231101","F"
"2","KSPO송파","어르신","일반","73","관리자","참가","20231101","M"
"2","KSPO송파","어르신","일반","76","관리자","참가","20231101","M"
"2","KSPO송파","어르신","일반","92","관리자","1등급","20231101","F"
"2","KSPO송파","어르신","일반","72","관리자","2등급","20231101","F"
